big,086,25-10-2020 17:17:18,19,wd,-,-
big,0868852498,22-10-2020 19:54:27,18,WW,-,-
op,123,24-10-2020 20:22:09,17,wd,-,-
zzz,888,24-10-2020 20:22:29,19,wd,-,-
oo,654,24-10-2020 21:28:53,20,wd,-,-
qq,1,25-10-2020 17:13:47,16,ww,-,-
qqq,11,24-10-2020 23:05:32,122,wd,-,-
qqq,111,24-10-2020 21:57:07,123,ww,-,-
r,144,24-10-2020 21:41:14,015,ww,-,-
q,15,24-10-2020 21:34:46,1161,ww,-,-
araikodai,123456,24-10-2020 21:51:56,200,ww,-,-
aum,456,25-10-2020 17:17:03,dd,dd,-,-
gg,0000000000,25-10-2020 14:40:24,50,wd,-,-
hoho,999,25-10-2020 15:15:37,20,ww,-,-
